D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_105.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_105.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_105.jpg, 0, 0, 0, 7.864925E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_210.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_210.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_210.jpg, 0, 0, 0, 7.843454E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_313.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_313.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_313.jpg, 0, 0, 0, 7.797336E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_423.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_423.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_423.jpg, 0, 0, 0, 8.244955E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_527.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_527.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_527.jpg, 0, 0, 0, 8.056692E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_637.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_637.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_637.jpg, 0, 0, 0, 7.753983E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_741.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_741.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_741.jpg, 0, 0, 0, 8.047152E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_846.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_846.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_846.jpg, 0, 0, 0, 7.800711E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_27_948.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_27_948.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_27_948.jpg, 0, 0, 0, 7.938289E-05
D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\center_2021_06_22_16_15_28_054.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\left_2021_06_22_16_15_28_054.jpg, D:\Fils 4th year\Licenta\throttle_prediction_data\IMG\right_2021_06_22_16_15_28_054.jpg, 0, 0, 0, 7.878105E-05
